,COUNTRY,CITY,total_damage
1552,Uganda,Kampala,172.0
1550,Uganda,Gulu,99.0
1555,Uganda,Masaka,36.0
1548,Uganda,Adjumani,35.0
1553,Uganda,Kitgum,32.0
1551,Uganda,Jinja,14.0
1556,Uganda,Mbarara,5.0
1549,Uganda,Entebbe,4.0
1557,Ukraine,Brovary,8.0
1565,Ukraine,Yevpatoriya,3.0
1562,Ukraine,Odessa,2.0
1564,Ukraine,Yalta,2.0
1558,Ukraine,Donetsk,0.0
1559,Ukraine,Kharkiv,0.0
1560,Ukraine,Lutsk,0.0
1561,Ukraine,Lviv,0.0
1563,Ukraine,Simferopol,0.0
1566,United Arab Emirates,Dubai,4.0
1616,United Kingdom,London,2183.0
1577,United Kingdom,Belfast,898.0
1615,United Kingdom,Lockerbie,275.0
1622,United Kingdom,Newry,111.0
1599,United Kingdom,Enniskillen,92.0
1604,United Kingdom,Guildford,70.0
1628,United Kingdom,Omagh,53.0
1588,United Kingdom,Coleraine,42.0
1579,United Kingdom,Brighton,36.0
1586,United Kingdom,Caterham,33.0
1603,United Kingdom,Gilford,33.0
1639,United Kingdom,Warrenpoint,26.0
1569,United Kingdom,Aldershot,25.0
1597,United Kingdom,Dungannon,22.0
1608,United Kingdom,Keady,22.0
1614,United Kingdom,Lisburn,19.0
1572,United Kingdom,Armagh,16.0
1619,United Kingdom,Moira,7.0
1584,United Kingdom,Castlerock,5.0
1595,United Kingdom,Derry,5.0
1590,United Kingdom,Craigavon,4.0
1596,United Kingdom,Draperstown,3.0
1631,United Kingdom,Portadown,3.0
1637,United Kingdom,Swansea,3.0
1573,United Kingdom,Ballycastle,2.0
1591,United Kingdom,Crossmaglen,2.0
1618,United Kingdom,Magherafelt,2.0
1621,United Kingdom,Newcastle,2.0
1567,United Kingdom,Abingdon,1.0
1574,United Kingdom,Ballymena,1.0
1581,United Kingdom,Carrickfergus,1.0
1583,United Kingdom,Castlederg,1.0
1585,United Kingdom,Castlewellan,1.0
1592,United Kingdom,Crumlin,1.0
1594,United Kingdom,Derby,1.0
1600,United Kingdom,Essex,1.0
1601,United Kingdom,Exeter,1.0
1612,United Kingdom,Kirkcaldy,1.0
1613,United Kingdom,Larne,1.0
1625,United Kingdom,Newtownstewart,1.0
1626,United Kingdom,Northampton,1.0
1630,United Kingdom,Pevensey,1.0
1636,United Kingdom,Strabane,1.0
1568,United Kingdom,Ahoghill,0.0
1570,United Kingdom,Annalong,0.0
1571,United Kingdom,Ardglass,0.0
1575,United Kingdom,Ballynahinch,0.0
1576,United Kingdom,Bangor,0.0
1578,United Kingdom,Bootle,0.0
1580,United Kingdom,Carnlough,0.0
1582,United Kingdom,Castledawson,0.0
1587,United Kingdom,Coalisland,0.0
1589,United Kingdom,Cookstown,0.0
1593,United Kingdom,Cushendall,0.0
1598,United Kingdom,Dunloy,0.0
1602,United Kingdom,Garvagh,0.0
1605,United Kingdom,Hillsborough,0.0
1606,United Kingdom,Hove,0.0
1607,United Kingdom,Irvinestown,0.0
1609,United Kingdom,Kilkeel,0.0
1610,United Kingdom,Killyleagh,0.0
1611,United Kingdom,Kilrea,0.0
1617,United Kingdom,Maghera,0.0
1620,United Kingdom,Moneymore,0.0
1623,United Kingdom,Newtownabbey,0.0
1624,United Kingdom,Newtownards,0.0
1627,United Kingdom,Nottingham,0.0
1629,United Kingdom,Oxford,0.0
1632,United Kingdom,Portrush,0.0
1633,United Kingdom,Portstewart,0.0
1634,United Kingdom,Randalstown,0.0
1635,United Kingdom,Sion Mills,0.0
1638,United Kingdom,Tipton,0.0
1640,United Kingdom,Whitehead,0.0
1641,United Kingdom,Wolverhampton,0.0
1725,United States,New York City,6354.0
1763,United States,The Dalles,751.0
1730,United States,Oklahoma City,668.0
1695,United States,Hebron,399.0
1648,United States,Atlanta,117.0
1733,United States,Orlando,102.0
1674,United States,El Paso,46.0
1666,United States,Columbia,35.0
1776,United States,York,32.0
1713,United States,Los Angeles,21.0
1661,United States,Charlottesville,20.0
1662,United States,Chicago,19.0
1724,United States,New Orleans,19.0
1739,United States,Pittsburgh,17.0
1667,United States,Columbus,15.0
1737,United States,Pensacola,11.0
1751,United States,San Francisco,11.0
1650,United States,Austin,8.0
1704,United States,Jersey City,7.0
1645,United States,Alexandria,6.0
1657,United States,Boca Raton,6.0
1658,United States,Boston,6.0
1752,United States,Sandy Springs,6.0
1757,United States,Seattle,6.0
1685,United States,Fort Lauderdale,5.0
1709,United States,Langley,5.0
1716,United States,Miami,5.0
1714,United States,Madison,4.0
1741,United States,Poway,4.0
1672,United States,Detroit,3.0
1705,United States,Kansas City,3.0
1723,United States,Nanuet,3.0
1651,United States,Baltimore,2.0
1653,United States,Berkeley,2.0
1655,United States,Birmingham,2.0
1712,United States,Little Rock,2.0
1753,United States,Santa Barbara,2.0
1759,United States,Speedway,2.0
1654,United States,Bethesda,1.0
1659,United States,Brooklyn,1.0
1669,United States,Dallas,1.0
1671,United States,Dearborn,1.0
1682,United States,Evanston,1.0
1683,United States,Fargo,1.0
1684,United States,Flint,1.0
1686,United States,Fresno,1.0
1688,United States,Garden Grove,1.0
1691,United States,Glendale,1.0
1729,United States,Ogden,1.0
1732,United States,Orange,1.0
1734,United States,Oxford,1.0
1738,United States,Philadelphia,1.0
1754,United States,Santa Cruz,1.0
1762,United States,Tampa,1.0
1764,United States,Torrance,1.0
1767,United States,Union,1.0
1775,United States,Wichita,1.0
1642,United States,Albany,0.0
1643,United States,Albertville,0.0
1644,United States,Albuquerque,0.0
1646,United States,Anaheim,0.0
1647,United States,Astoria,0.0
1649,United States,Auburn,0.0
1652,United States,Bellingham,0.0
1656,United States,Bloomington,0.0
1660,United States,Cambridge,0.0
1663,United States,Chico,0.0
1664,United States,Clatskanie,0.0
1665,United States,Colleyville,0.0
1668,United States,Coral Gables,0.0
1670,United States,De Kalb,0.0
1673,United States,East Lansing,0.0
1675,United States,Elizabeth,0.0
1676,United States,Ellettsville,0.0
1677,United States,Emeryville,0.0
1678,United States,Erie,0.0
1679,United States,Escondido,0.0
1680,United States,Estacada,0.0
1681,United States,Eugene,0.0
1687,United States,Galveston,0.0
1689,United States,Girard,0.0
1690,United States,Glen Cove,0.0
1692,United States,Grangeville,0.0
1693,United States,Greenville,0.0
1694,United States,Hagerstown,0.0
1696,United States,Hialeah,0.0
1697,United States,Hoboken,0.0
1698,United States,Hollywood,0.0
1699,United States,Houghton,0.0
1700,United States,Houston,0.0
1701,United States,Irvine,0.0
1702,United States,Jacksonville,0.0
1703,United States,Jericho,0.0
1706,United States,Key Biscayne,0.0
1707,United States,Key West,0.0
1708,United States,Laguna Woods,0.0
1710,United States,Leavenworth,0.0
1711,United States,Lincoln,0.0
1715,United States,Medford,0.0
1717,United States,Middle Island,0.0
1718,United States,Miller Place,0.0
1719,United States,Minneapolis,0.0
1720,United States,Monmouth,0.0
1721,United States,Montgomery,0.0
1722,United States,Mount Sinai,0.0
1726,United States,Niwot,0.0
1727,United States,North Vernon,0.0
1728,United States,Oakland,0.0
1731,United States,Opelousas,0.0
1735,United States,Pacific,0.0
1736,United States,Paul,0.0
1740,United States,Portland,0.0
1742,United States,Provo,0.0
1743,United States,Queens,0.0
1744,United States,Redmond,0.0
1745,United States,Richmond,0.0
1746,United States,Rockville,0.0
1747,United States,Roseville,0.0
1748,United States,Sacramento,0.0
1749,United States,Sammamish,0.0
1750,United States,San Diego,0.0
1755,United States,Santa Monica,0.0
1756,United States,Scottsdale,0.0
1758,United States,Snohomish,0.0
1760,United States,Sutter,0.0
1761,United States,Tacoma,0.0
1765,United States,Tucson,0.0
1766,United States,Umatilla,0.0
1768,United States,University,0.0
1769,United States,Vail,0.0
1770,United States,Viroqua,0.0
1771,United States,Visalia,0.0
1772,United States,West,0.0
1773,United States,West Covina,0.0
1774,United States,West Jordan,0.0
1777,Uruguay,Montevideo,9.0
1778,Uzbekistan,Bekobod,0.0
1780,Venezuela,Caracas,80.0
1782,Venezuela,La Victoria,3.0
1781,Venezuela,Coro,1.0
1779,Venezuela,Cabudare,0.0
1783,Venezuela,Los Teques,0.0
1784,Venezuela,Maracaibo,0.0
1785,Venezuela,Puerto La Cruz,0.0
1786,Venezuela,Valencia,0.0
1787,Vietnam,Ho Chi Minh City,0.0
1788,Yemen,Aden,698.0
1795,Yemen,Mukalla,187.0
1796,Yemen,Sanaa,142.0
1791,Yemen,Ma'rib,4.0
1793,Yemen,Medghal,2.0
1789,Yemen,Ibb,0.0
1790,Yemen,Khamir,0.0
1792,Yemen,Marib,0.0
1794,Yemen,Mudiyah,0.0
1798,Zambia,Lusaka,11.0
1797,Zambia,Livingstone,7.0
1799,Zimbabwe,Bulawayo,54.0
1800,Zimbabwe,Harare,23.0
1801,Zimbabwe,Kariba,1.0
1802,Zimbabwe,Mutare,0.0
1803,Zimbabwe,Penhalonga,0.0
